Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.211000473591677,-0.06819331534592,-0.0134867673833824,0,0,0,2.24781292585084,0.00272855592442486,7.62987611467258E-08,-1.34590772007858E-11,0.00367864032349476,-2.58196511553583E-13,0.0052395389873776,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/base.STL,,腿左后-3/RL_base-1/电机连接件1-1;腿左后-3/RL_base-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;腿左后-3/RL_base-1/沉头螺栓M4-25-1;腿左后-3/RL_base-1/防松螺母M4-1;腿左后-3/RL_base-1/平垫片M4-9-0.5-1;腿左后-3/RL_base-1/弹簧垫片M4-1.1-1;腿左后-3/RL_base-1/内六角螺栓M4-10-1;腿左后-3/RL_base-1/沉头螺栓M4-10-1;腿左后-3/RL_base-1/沉头螺栓M4-25-2;腿左后-3/RL_base-1/防松螺母M4-2;腿左后-3/RL_base-1/平垫片M4-9-0.5-2;腿左后-3/RL_base-1/弹簧垫片M4-1.1-2;腿左后-3/RL_base-1/沉头螺栓M4-25-3;腿左后-3/RL_base-1/防松螺母M4-3;腿左后-3/RL_base-1/平垫片M4-9-0.5-3;腿左后-3/RL_base-1/弹簧垫片M4-1.1-3;腿左后-3/RL_base-1/沉头螺栓M4-25-4;腿左后-3/RL_base-1/防松螺母M4-4;腿左后-3/RL_base-1/平垫片M4-9-0.5-4;腿左后-3/RL_base-1/弹簧垫片M4-1.1-4;腿左后-3/RL_base-1/内六角螺栓M4-10-2;腿左后-3/RL_base-1/内六角螺栓M4-10-3;腿左后-3/RL_base-1/内六角螺栓M4-10-4;腿左后-3/RL_base-1/沉头螺栓M4-10-2;腿左后-3/RL_base-1/沉头螺栓M4-10-3;腿左后-3/RL_base-1/沉头螺栓M4-10-4;腿左后-3/RL_base-1/沉头螺栓M4-10-5;腿左前-1/FL_base-1/沉头螺栓M4-10-5;腿左前-1/FL_base-1/沉头螺栓M4-10-4;腿左前-1/FL_base-1/沉头螺栓M4-10-3;腿左前-1/FL_base-1/沉头螺栓M4-10-2;腿左前-1/FL_base-1/内六角螺栓M4-10-4;腿左前-1/FL_base-1/内六角螺栓M4-10-3;腿左前-1/FL_base-1/内六角螺栓M4-10-2;腿左前-1/FL_base-1/弹簧垫片M4-1.1-4;腿左前-1/FL_base-1/平垫片M4-9-0.5-4;腿左前-1/FL_base-1/防松螺母M4-4;腿左前-1/FL_base-1/沉头螺栓M4-25-4;腿左前-1/FL_base-1/弹簧垫片M4-1.1-3;腿左前-1/FL_base-1/平垫片M4-9-0.5-3;腿左前-1/FL_base-1/防松螺母M4-3;腿左前-1/FL_base-1/沉头螺栓M4-25-3;腿左前-1/FL_base-1/弹簧垫片M4-1.1-2;腿左前-1/FL_base-1/平垫片M4-9-0.5-2;腿左前-1/FL_base-1/防松螺母M4-2;腿左前-1/FL_base-1/沉头螺栓M4-25-2;腿左前-1/FL_base-1/沉头螺栓M4-10-1;腿左前-1/FL_base-1/内六角螺栓M4-10-1;腿左前-1/FL_base-1/弹簧垫片M4-1.1-1;腿左前-1/FL_base-1/平垫片M4-9-0.5-1;腿左前-1/FL_base-1/防松螺母M4-1;腿左前-1/FL_base-1/沉头螺栓M4-25-1;腿左前-1/FL_base-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;腿左前-1/FL_base-1/电机连接件1-1;腿右后-5/RR_base-1/沉头螺栓M4-10-5;腿右后-5/RR_base-1/沉头螺栓M4-10-4;腿右后-5/RR_base-1/沉头螺栓M4-10-3;腿右后-5/RR_base-1/沉头螺栓M4-10-2;腿右后-5/RR_base-1/内六角螺栓M4-10-4;腿右后-5/RR_base-1/内六角螺栓M4-10-3;腿右后-5/RR_base-1/内六角螺栓M4-10-2;腿右后-5/RR_base-1/弹簧垫片M4-1.1-4;腿右后-5/RR_base-1/平垫片M4-9-0.5-4;腿右后-5/RR_base-1/防松螺母M4-4;腿右后-5/RR_base-1/沉头螺栓M4-25-4;腿右后-5/RR_base-1/弹簧垫片M4-1.1-3;腿右后-5/RR_base-1/平垫片M4-9-0.5-3;腿右后-5/RR_base-1/防松螺母M4-3;腿右后-5/RR_base-1/沉头螺栓M4-25-3;腿右后-5/RR_base-1/弹簧垫片M4-1.1-2;腿右后-5/RR_base-1/平垫片M4-9-0.5-2;腿右后-5/RR_base-1/防松螺母M4-2;腿右后-5/RR_base-1/沉头螺栓M4-25-2;腿右后-5/RR_base-1/沉头螺栓M4-10-1;腿右后-5/RR_base-1/内六角螺栓M4-10-1;腿右后-5/RR_base-1/弹簧垫片M4-1.1-1;腿右后-5/RR_base-1/平垫片M4-9-0.5-1;腿右后-5/RR_base-1/防松螺母M4-1;腿右后-5/RR_base-1/沉头螺栓M4-25-1;腿右后-5/RR_base-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;腿右后-5/RR_base-1/电机连接件1-1;腿右前-3/FR_base-1/弹簧垫片M4-1.1-4;腿右前-3/FR_base-1/电机连接件1-1;腿右前-3/FR_base-1/沉头螺栓M4-10-5;腿右前-3/FR_base-1/沉头螺栓M4-10-4;腿右前-3/FR_base-1/沉头螺栓M4-10-3;腿右前-3/FR_base-1/沉头螺栓M4-10-2;腿右前-3/FR_base-1/内六角螺栓M4-10-4;腿右前-3/FR_base-1/内六角螺栓M4-10-3;腿右前-3/FR_base-1/内六角螺栓M4-10-2;腿右前-3/FR_base-1/弹簧垫片M4-1.1-3;腿右前-3/FR_base-1/平垫片M4-9-0.5-4;腿右前-3/FR_base-1/防松螺母M4-4;腿右前-3/FR_base-1/沉头螺栓M4-25-4;腿右前-3/FR_base-1/弹簧垫片M4-1.1-2;腿右前-3/FR_base-1/平垫片M4-9-0.5-3;腿右前-3/FR_base-1/防松螺母M4-3;腿右前-3/FR_base-1/沉头螺栓M4-25-3;腿右前-3/FR_base-1/弹簧垫片M4-1.1-1;腿右前-3/FR_base-1/平垫片M4-9-0.5-2;腿右前-3/FR_base-1/防松螺母M4-2;腿右前-3/FR_base-1/沉头螺栓M4-25-2;腿右前-3/FR_base-1/沉头螺栓M4-10-1;腿右前-3/FR_base-1/内六角螺栓M4-10-1;腿右前-3/FR_base-1/平垫片M4-9-0.5-1;腿右前-3/FR_base-1/防松螺母M4-1;腿右前-3/FR_base-1/沉头螺栓M4-25-1;腿右前-3/FR_base-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;机身-1,X1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_thigh,-0.0153679154656429,0.0490409365638676,0.000238111665350578,0,0,0,0.641109402634991,0.000290661828167173,1.31396091067465E-05,-1.00963733289331E-05,0.00037748261216166,-0.000115506766615794,0.000376382473270147,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FL_thigh.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FL_thigh.STL,,腿左前-1/FL_thigh-1/电机连接件2-1;腿左前-1/FL_thigh-1/电机连接件3-1;腿左前-1/FL_thigh-1/腿部连杆上2-1;腿左前-1/FL_thigh-1/腿部连接件上1-1;腿左前-1/FL_thigh-1/腿部连接件中1-1;腿左前-1/FL_thigh-1/紧固件_腿部连接件中下-1;腿左前-1/FL_thigh-1/紧固件_腿部连接件上1-1;腿左前-1/FL_thigh-1/紧固件_腿部连接件上1-2;腿左前-1/FL_thigh-1/紧固件_腿部连接件上1-3;腿左前-1/FL_thigh-1/沉头螺栓M4-12-1;腿左前-1/FL_thigh-1/电机连接件3-2;腿左前-1/FL_thigh-1/沉头螺栓M4-12-2;腿左前-1/FL_thigh-1/沉头螺栓M4-12-3;腿左前-1/FL_thigh-1/沉头螺栓M4-12-4;腿左前-1/FL_thigh-1/沉头螺栓M4-12-5;腿左前-1/FL_thigh-1/紧固件_电机连接件23-1;腿左前-1/FL_thigh-1/紧固件_电机连接件23-2;腿左前-1/FL_thigh-1/紧固件_电机连接件23-3;腿左前-1/FL_thigh-1/紧固件_电机连接件23-4;腿左前-1/FL_thigh-1/紧固件_电机连接件23-5;腿左前-1/FL_thigh-1/沉头螺栓M4-12-6;腿左前-1/FL_thigh-1/沉头螺栓M4-12-7;腿左前-1/FL_thigh-1/沉头螺栓M4-12-8;腿左前-1/FL_thigh-1/沉头螺栓M4-12-9;腿左前-1/FL_thigh-1/沉头螺栓M4-12-10;腿左前-1/FL_thigh-1/紧固件_腿部连杆-1;腿左前-1/FL_thigh-1/紧固件_腿部连杆-2;腿左前-1/FL_thigh-1/紧固件_腿部连杆-3;腿左前-1/FL_thigh-1/紧固件_腿部连杆-4;腿左前-1/FL_thigh-1/内六角螺栓M4-8-1;腿左前-1/FL_thigh-1/内六角螺栓M4-8-2;腿左前-1/FL_thigh-1/内六角螺栓M4-8-3;腿左前-1/FL_thigh-1/内六角螺栓M4-8-4;腿左前-1/FL_thigh-1/内六角螺栓M4-8-5;腿左前-1/FL_thigh-1/内六角螺栓M4-8-6;腿左前-1/FL_thigh-1/大腿_镜像-1;腿左前-1/FL_thigh-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;腿左前-1/FL_thigh-1/紧固件_电机连接件23-6,X1,Z1,FL_thigh,revolute,0,0,0,0,0,0,base,0,0.707106781186551,0.707106781186544,0,0,0,0,,,,,,,,
FL_calf,0.0306135207530854,0.0562527516265406,-0.0428254406796304,0,0,0,0.309076243853347,9.66059964951771E-05,1.84057023280639E-05,-1.71435501254975E-05,9.57794501006733E-05,-3.5057827615909E-05,0.000101960791398087,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FL_calf.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FL_calf.STL,,腿左前-1/FL_calf-1/小腿_镜像-1;腿左前-1/FL_calf-1/腿部连杆上1-1;腿左前-1/FL_calf-1/腿部连接件上2-1;腿左前-1/FL_calf-1/腿部连接件中1-1;腿左前-1/FL_calf-1/紧固件_腿部连接件中下-1;腿左前-1/FL_calf-1/紧固件_腿部连杆-1;腿左前-1/FL_calf-1/紧固件_腿部连杆-2;腿左前-1/FL_calf-1/内六角螺栓M4-18-1;腿左前-1/FL_calf-1/内六角螺栓M4-18-2;腿左前-1/FL_calf-1/内六角螺栓M4-18-3;腿左前-1/FL_calf-1/内六角螺栓M4-18-4;腿左前-1/FL_calf-1/内六角螺栓M4-18-5;腿左前-1/FL_calf-1/内六角螺栓M4-18-6;腿左前-1/FL_calf-1/紧固件_腿部连杆-3;腿左前-1/FL_calf-1/紧固件_腿部连杆-4;腿左前-1/FL_calf-1/紧固件_腿部连接件上2-1;腿左前-1/FL_calf-1/紧固件_腿部连接件上2-2;腿左前-1/FL_calf-1/紧固件_腿部连接件上2-3,X2,Z2,FL_calf,revolute,0,0.0357088924499221,0.0357088924499192,0,0,0,FL_thigh,0,0.707106781186551,0.707106781186544,0,0,0,0,,,,,,,,
FL_3,-0.029093610646794,0.00219356964723713,-0.110086515616705,0,0,0,0.190678698865573,9.42019778249445E-05,1.61926827260551E-06,2.17280285088593E-05,9.65720880663644E-05,2.94920706671584E-06,3.07564442069022E-05,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FL_3.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FL_3.STL,,腿左前-1/FL_2-1/腿部连接件下2-1;腿左前-1/FL_2-1/腿部连杆下1-1;腿左前-1/FL_2-1/腿部连接件中2-1;腿左前-1/FL_2-1/紧固件_腿部连接件中下-1;腿左前-1/FL_2-1/紧固件_腿部连杆-1;腿左前-1/FL_2-1/紧固件_腿部连杆-2;腿左前-1/FL_2-1/紧固件_腿部连杆-3;腿左前-1/FL_2-1/紧固件_腿部连杆-4,X3,Z3,FL_3,revolute,0.0601103896864989,0.123095218921982,-0.117664998106235,0,0,0,FL_calf,-0.836516303737812,0.512047039647154,0.19505974153939,0,0,0,0,,,,,,,,
FL_1,0.0278504193726201,0.0014056702193285,-0.122543570251272,0,0,0,0.202929396248685,0.000103091545466617,-1.61376154526962E-06,-2.16323793867274E-05,0.000109121489194637,3.72346486091897E-06,2.98904612411968E-05,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FL_1.STL,1,1,1,1,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FL_1.STL,,腿左前-1/FL_1-1/足-1;腿左前-1/FL_1-1/腿部连接件下1-1;腿左前-1/FL_1-1/腿部连杆下2-1;腿左前-1/FL_1-1/腿部连接件中2-1;腿左前-1/FL_1-1/紧固件_腿部连杆-1;腿左前-1/FL_1-1/紧固件_腿部连杆-2;腿左前-1/FL_1-1/紧固件_腿部连杆-3;腿左前-1/FL_1-1/紧固件_腿部连杆-4,X4,Z4,FL_1,revolute,-0.0601103896864993,0.158804111371901,-0.0819561056563134,0,0,0,FL_thigh,0.836516303737807,0.512047039647168,0.195059741539375,0,0,0,0,,,,,,,,
FL_2,0.031016779039711,0.00332440369134371,0.0603730463506455,0,0,0,0.190678698865573,9.42019778249445E-05,1.61926827260551E-06,2.17280285088593E-05,9.65720880663644E-05,2.94920706671584E-06,3.07564442069023E-05,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FL_2.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FL_2.STL,,腿左前-1/FL_2-1/腿部连接件下2-1;腿左前-1/FL_2-1/腿部连杆下1-1;腿左前-1/FL_2-1/腿部连接件中2-1;腿左前-1/FL_2-1/紧固件_腿部连接件中下-1;腿左前-1/FL_2-1/紧固件_腿部连杆-1;腿左前-1/FL_2-1/紧固件_腿部连杆-2;腿左前-1/FL_2-1/紧固件_腿部连杆-3;腿左前-1/FL_2-1/紧固件_腿部连杆-4,X5,Z5,FL_2,revolute,0.0601103896864977,-0.00113083404410286,-0.170459561967354,0,0,0,FL_1,0,-0.998349626939264,0.0574284110021552,0,0,0,0,,,,,,,,
FR_thigh,-0.0153650676321221,-0.0490559658119212,0.00022294299497653,0,0,0,0.641109400726129,0.00029589068293408,6.90661626609846E-07,3.67074428431381E-06,0.000375207739795365,0.000118121236512555,0.000373428491787105,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FR_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FR_thigh.STL,,腿右前-3/FR_thigh-1/紧固件_电机连接件23-1;腿右前-3/FR_thigh-1/紧固件_电机连接件23-2;腿右前-3/FR_thigh-1/紧固件_电机连接件23-3;腿右前-3/FR_thigh-1/紧固件_电机连接件23-4;腿右前-3/FR_thigh-1/紧固件_电机连接件23-5;腿右前-3/FR_thigh-1/沉头螺栓M4-12-1;腿右前-3/FR_thigh-1/沉头螺栓M4-12-2;腿右前-3/FR_thigh-1/沉头螺栓M4-12-3;腿右前-3/FR_thigh-1/沉头螺栓M4-12-4;腿右前-3/FR_thigh-1/沉头螺栓M4-12-5;腿右前-3/FR_thigh-1/紧固件_腿部连杆-1;腿右前-3/FR_thigh-1/紧固件_腿部连杆-2;腿右前-3/FR_thigh-1/内六角螺栓M4-8-1;腿右前-3/FR_thigh-1/内六角螺栓M4-8-2;腿右前-3/FR_thigh-1/内六角螺栓M4-8-3;腿右前-3/FR_thigh-1/内六角螺栓M4-8-4;腿右前-3/FR_thigh-1/内六角螺栓M4-8-5;腿右前-3/FR_thigh-1/内六角螺栓M4-8-6;腿右前-3/FR_thigh-1/沉头螺栓M4-12-6;腿右前-3/FR_thigh-1/沉头螺栓M4-12-7;腿右前-3/FR_thigh-1/沉头螺栓M4-12-8;腿右前-3/FR_thigh-1/紧固件_腿部连杆-3;腿右前-3/FR_thigh-1/紧固件_腿部连杆-4;腿右前-3/FR_thigh-1/沉头螺栓M4-12-9;腿右前-3/FR_thigh-1/紧固件_电机连接件23-6;腿右前-3/FR_thigh-1/紧固件_腿部连接件上1-1;腿右前-3/FR_thigh-1/紧固件_腿部连接件上1-2;腿右前-3/FR_thigh-1/紧固件_腿部连接件上1-3;腿右前-3/FR_thigh-1/紧固件_腿部连接件中下-1;腿右前-3/FR_thigh-1/腿部连接件中1-1;腿右前-3/FR_thigh-1/腿部连接件上1-1;腿右前-3/FR_thigh-1/大腿-1;腿右前-3/FR_thigh-1/腿部连杆上1-1;腿右前-3/FR_thigh-1/电机连接件3-1;腿右前-3/FR_thigh-1/电机连接件2-1;腿右前-3/FR_thigh-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;腿右前-3/FR_thigh-1/电机连接件3-2;腿右前-3/FR_thigh-1/沉头螺栓M4-12-10,X6,Z6,FR_thigh,revolute,0,-0.136475945135393,0,0,0,0,base,0,-0.707106781186547,0.707106781186548,0,0,0,0,,,,,,,,
FR_calf,0.0306134784411627,-0.0562527012486178,-0.0428255297740321,0,0,0,0.30907624507599,9.66060405406205E-05,-1.84056497772306E-05,-1.71435813381104E-05,9.57795115804991E-05,3.5057920911091E-05,0.000101960685098218,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FR_calf.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FR_calf.STL,,腿右前-3/FR_calf-1/小腿-1;腿右前-3/FR_calf-1/腿部连接件上2-1;腿右前-3/FR_calf-1/腿部连接件中1-1;腿右前-3/FR_calf-1/腿部连杆上2-1;腿右前-3/FR_calf-1/紧固件_腿部连接件中下-1;腿右前-3/FR_calf-1/紧固件_腿部连接件上2-1;腿右前-3/FR_calf-1/紧固件_腿部连杆-1;腿右前-3/FR_calf-1/紧固件_腿部连杆-2;腿右前-3/FR_calf-1/紧固件_腿部连杆-3;腿右前-3/FR_calf-1/紧固件_腿部连杆-4;腿右前-3/FR_calf-1/内六角螺栓M4-18-1;腿右前-3/FR_calf-1/内六角螺栓M4-18-2;腿右前-3/FR_calf-1/内六角螺栓M4-18-3;腿右前-3/FR_calf-1/内六角螺栓M4-18-4;腿右前-3/FR_calf-1/内六角螺栓M4-18-5;腿右前-3/FR_calf-1/内六角螺栓M4-18-6;腿右前-3/FR_calf-1/紧固件_腿部连接件上2-2;腿右前-3/FR_calf-1/紧固件_腿部连接件上2-3,X7,Z7,FR_calf,revolute,0,-0.0357088924499185,0.0357088924499228,0,0,0,FR_thigh,0,0.707106781186547,-0.707106781186548,0,0,0,0,,,,,,,,
FR_3,-0.0290933396631616,-0.00202326307904724,-0.110076661108636,0,0,0,0.190678699317919,9.4201952894975E-05,-1.61925149850558E-06,2.17278530256513E-05,9.65720892715286E-05,-2.94920152220904E-06,3.07564682108771E-05,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FR_3.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FR_3.STL,,腿右前-3/FR_2-1/腿部连接件下2-1;腿右前-3/FR_2-1/腿部连杆下2-1;腿右前-3/FR_2-1/腿部连接件中2-1;腿右前-3/FR_2-1/紧固件_腿部连接件中下-1;腿右前-3/FR_2-1/紧固件_腿部连杆-1;腿右前-3/FR_2-1/紧固件_腿部连杆-2;腿右前-3/FR_2-1/紧固件_腿部连杆-3;腿右前-3/FR_2-1/紧固件_腿部连杆-4,X9,Z9,FR_3,revolute,0.0601103896865005,-0.123095218921982,-0.117664998106235,0,0,0,FR_calf,-0.83651630373781,-0.512047039647161,0.195059741539382,0,0,0,0,,,,,,,,
FR_1,0.0278504502070537,-0.00140568609450123,-0.122543526670693,0,0,0,0.202929395916616,0.000103091542977529,1.61376678281076E-06,-2.16323935894736E-05,0.000109121488735859,-3.72346493049534E-06,2.98904640064963E-05,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FR_1.STL,1,1,1,1,0,0,0,0,0,0,package://Urdf_Bennett_test3/meshes/FR_1.STL,,腿右前-3/FR_1-1/足-1;腿右前-3/FR_1-1/腿部连接件下1-1;腿右前-3/FR_1-1/腿部连杆下1-1;腿右前-3/FR_1-1/腿部连接件中2-1;腿右前-3/FR_1-1/紧固件_腿部连杆-1;腿右前-3/FR_1-1/紧固件_腿部连杆-2;腿右前-3/FR_1-1/紧固件_腿部连杆-3;腿右前-3/FR_1-1/紧固件_腿部连杆-4,X8,Z8,FR_1,revolute,-0.0601103896864964,-0.158804111371901,-0.0819561056563115,0,0,0,FR_thigh,0.836516303737809,-0.512047039647162,0.195059741539384,0,0,0,0,,,,,,,,
