time_s,segment,body,x_m,y_m,z_m
0.000000,0,FL_foot,0.24780178,0.19358142,0.02014171
0.000000,0,FR_foot,0.22555758,-0.25329512,0.02033277
0.000000,0,RL_foot,-0.15206595,0.21612467,0.02103681
0.000000,0,RR_foot,-0.19706483,-0.22886650,0.02035467
0.020000,0,FL_foot,0.24504133,0.19294317,0.02022942
0.020000,0,FR_foot,0.22384067,-0.24217124,0.02335446
0.020000,0,RL_foot,-0.16050968,0.19326492,0.02530286
0.020000,0,RR_foot,-0.20062959,-0.22756065,0.02022097
0.040000,0,FL_foot,0.24509232,0.19288513,0.02022656
0.040000,0,FR_foot,0.23209092,-0.23711836,0.02517447
0.040000,0,RL_foot,-0.15768953,0.16504446,0.03601979
0.040000,0,RR_foot,-0.20060562,-0.22754718,0.02021226
0.060000,0,FL_foot,0.24509233,0.19287713,0.02022623
0.060000,0,FR_foot,0.24166287,-0.23429312,0.02654244
0.060000,0,RL_foot,-0.15064272,0.13442414,0.05398007
0.060000,0,RR_foot,-0.20060374,-0.22753477,0.02021524
0.080000,0,FL_foot,0.24509160,0.19288528,0.02022519
0.080000,0,FR_foot,0.25106704,-0.23400408,0.02736643
0.080000,0,RL_foot,-0.14180997,0.11018793,0.07366011
0.080000,0,RR_foot,-0.20059647,-0.22753450,0.02021657
0.100000,0,FL_foot,0.24510507,0.19289267,0.02022553
0.100000,0,FR_foot,0.25909498,-0.23586598,0.02747902
0.100000,0,RL_foot,-0.13374196,0.09339004,0.09087736
0.100000,0,RR_foot,-0.20057869,-0.22753984,0.02021835
0.120000,0,FL_foot,0.24513146,0.19289419,0.02022553
0.120000,0,FR_foot,0.26426175,-0.23902787,0.02694763
0.120000,0,RL_foot,-0.12733424,0.08152564,0.10510155
0.120000,0,RR_foot,-0.20055254,-0.22754899,0.02021837
0.140000,0,FL_foot,0.24516794,0.19287573,0.02022522
0.140000,0,FR_foot,0.26651627,-0.24292721,0.02590897
0.140000,0,RL_foot,-0.12246662,0.07286267,0.11657875
0.140000,0,RR_foot,-0.20051682,-0.22755098,0.02021633
0.160000,0,FL_foot,0.24521005,0.19285597,0.02022392
0.160000,0,FR_foot,0.26691505,-0.24701938,0.02463293
0.160000,0,RL_foot,-0.11878163,0.06636547,0.12570252
0.160000,0,RR_foot,-0.20047589,-0.22758305,0.02021389
0.180000,0,FL_foot,0.24526067,0.19281945,0.02022147
0.180000,0,FR_foot,0.26644072,-0.25098303,0.02329726
0.180000,0,RL_foot,-0.11587749,0.06133078,0.13291322
0.180000,0,RR_foot,-0.20042877,-0.22760987,0.02020700
0.200000,0,FL_foot,0.24532592,0.19275090,0.02022066
0.200000,0,FR_foot,0.26569563,-0.25473675,0.02198183
0.200000,0,RL_foot,-0.11343709,0.05727392,0.13861436
0.200000,0,RR_foot,-0.20038237,-0.22767274,0.02020842
0.220000,0,FL_foot,0.24539925,0.19266583,0.02021911
0.220000,0,FR_foot,0.26502928,-0.25829300,0.02067381
0.220000,0,RL_foot,-0.11127045,0.05386282,0.14315672
0.220000,0,RR_foot,-0.20033184,-0.22772896,0.02020592
0.240000,0,FL_foot,0.24548444,0.19256167,0.02021877
0.240000,0,FR_foot,0.26495931,-0.25925958,0.02024816
0.240000,0,RL_foot,-0.10910568,0.05076873,0.14664742
0.240000,0,RR_foot,-0.20029654,-0.22781615,0.02020251
0.260000,0,FL_foot,0.24556375,0.19246542,0.02021870
0.260000,0,FR_foot,0.26521450,-0.25962526,0.02024619
0.260000,0,RL_foot,-0.10706580,0.04802890,0.14928897
0.260000,0,RR_foot,-0.20027116,-0.22788802,0.02020270
0.280000,0,FL_foot,0.24564208,0.19235924,0.02021771
0.280000,0,FR_foot,0.26544514,-0.25994149,0.02024797
0.280000,0,RL_foot,-0.10529270,0.04568011,0.15132153
0.280000,0,RR_foot,-0.20024711,-0.22795972,0.02020339
0.300000,0,FL_foot,0.24571529,0.19225886,0.02021635
0.300000,0,FR_foot,0.26565534,-0.26023245,0.02024581
0.300000,0,RL_foot,-0.10372611,0.04365579,0.15287445
0.300000,0,RR_foot,-0.20022711,-0.22804588,0.02020252
0.320000,0,FL_foot,0.24578273,0.19216456,0.02021519
0.320000,0,FR_foot,0.26585129,-0.26050180,0.02024599
0.320000,0,RL_foot,-0.10232977,0.04189178,0.15407057
0.320000,0,RR_foot,-0.20020826,-0.22810903,0.02020180
0.340000,0,FL_foot,0.24584478,0.19207735,0.02021439
0.340000,0,FR_foot,0.26602751,-0.26074338,0.02024581
0.340000,0,RL_foot,-0.10107926,0.04034945,0.15498857
0.340000,0,RR_foot,-0.20019069,-0.22816491,0.02020009
0.360000,0,FL_foot,0.24589530,0.19200720,0.02021345
0.360000,0,FR_foot,0.26618478,-0.26095787,0.02024519
0.360000,0,RL_foot,-0.09996287,0.03900325,0.15569066
0.360000,0,RR_foot,-0.20017652,-0.22823596,0.02019981
0.380000,0,FL_foot,0.24594477,0.19193709,0.02021272
0.380000,0,FR_foot,0.26632628,-0.26114768,0.02024481
0.380000,0,RL_foot,-0.09897240,0.03782821,0.15622535
0.380000,0,RR_foot,-0.20016278,-0.22828040,0.02019875
0.400000,0,FL_foot,0.24598309,0.19188438,0.02021177
0.400000,0,FR_foot,0.26645643,-0.26131529,0.02024419
0.400000,0,RL_foot,-0.09810009,0.03680674,0.15663283
0.400000,0,RR_foot,-0.20015135,-0.22833781,0.02019641
0.420000,0,FL_foot,0.24601974,0.19183032,0.02021131
0.420000,0,FR_foot,0.26658759,-0.26147822,0.02024400
0.420000,0,RL_foot,-0.09733496,0.03592168,0.15693764
0.420000,0,RR_foot,-0.20013946,-0.22837113,0.02019729
0.440000,0,FL_foot,0.24604641,0.19179337,0.02021105
0.440000,0,FR_foot,0.26671478,-0.26162687,0.02024430
0.440000,0,RL_foot,-0.09666823,0.03515926,0.15716358
0.440000,0,RR_foot,-0.20012985,-0.22841781,0.02019640
0.460000,0,FL_foot,0.24607198,0.19175568,0.02020974
0.460000,0,FR_foot,0.26685202,-0.26177895,0.02024326
0.460000,0,RL_foot,-0.09609085,0.03450200,0.15732665
0.460000,0,RR_foot,-0.20012316,-0.22845796,0.02019309
0.480000,0,FL_foot,0.24608849,0.19173467,0.02021045
0.480000,0,FR_foot,0.26698357,-0.26191527,0.02024348
0.480000,0,RL_foot,-0.09559210,0.03394746,0.15743791
0.480000,0,RR_foot,-0.20011273,-0.22847477,0.02019514
0.500000,0,FL_foot,0.24610060,0.19171940,0.02021030
0.500000,0,FR_foot,0.26712975,-0.26206005,0.02024297
0.500000,0,RL_foot,-0.09516323,0.03347425,0.15751168
0.500000,0,RR_foot,-0.20010535,-0.22850665,0.02019438
0.520000,0,FL_foot,0.24610858,0.19171019,0.02021005
0.520000,0,FR_foot,0.26728719,-0.26220986,0.02024231
0.520000,0,RL_foot,-0.09479681,0.03307160,0.15755436
0.520000,0,RR_foot,-0.20009832,-0.22853468,0.02019381
0.540000,0,FL_foot,0.24609816,0.19169608,0.02019594
0.540000,0,FR_foot,0.27019843,-0.26592040,0.02050512
0.540000,0,RL_foot,-0.09298990,0.03198987,0.15762943
0.540000,0,RR_foot,-0.20010762,-0.22852455,0.02016915
0.560000,0,FL_foot,0.24615517,0.19167568,0.02019774
0.560000,0,FR_foot,0.27794671,-0.27388373,0.02103790
0.560000,0,RL_foot,-0.08959735,0.03047500,0.15784241
0.560000,0,RR_foot,-0.20006396,-0.22855110,0.02017251
0.580000,0,FL_foot,0.24625514,0.19166121,0.02020139
0.580000,0,FR_foot,0.28764835,-0.28100172,0.02220564
0.580000,0,RL_foot,-0.08545508,0.02894621,0.15815963
0.580000,0,RR_foot,-0.19999553,-0.22852929,0.02017209
0.600000,0,FL_foot,0.24637306,0.19163805,0.02019879
0.600000,0,FR_foot,0.29681456,-0.28643408,0.02353896
0.600000,0,RL_foot,-0.08074839,0.02747843,0.15845512
0.600000,0,RR_foot,-0.19988762,-0.22854398,0.02017550
0.620000,0,FL_foot,0.24651821,0.19162264,0.02019781
0.620000,0,FR_foot,0.30439144,-0.29039654,0.02449868
0.620000,0,RL_foot,-0.07560185,0.02612103,0.15878382
0.620000,0,RR_foot,-0.19973806,-0.22852255,0.02017600
