time_s,segment,body,x_m,y_m,z_m
0.000000,0,FL_foot,0.24780178,0.19358142,0.02014171
0.000000,0,FR_foot,0.22555758,-0.25329512,0.02033277
0.000000,0,RL_foot,-0.15206595,0.21612467,0.02103681
0.000000,0,RR_foot,-0.19706483,-0.22886650,0.02035467
0.020000,0,FL_foot,0.24481846,0.19277616,0.02022683
0.020000,0,FR_foot,0.22324514,-0.24823931,0.02216809
0.020000,0,RL_foot,-0.16204375,0.19629675,0.02416171
0.020000,0,RR_foot,-0.20064989,-0.22742964,0.02021795
0.040000,0,FL_foot,0.24486989,0.19274491,0.02022579
0.040000,0,FR_foot,0.22815259,-0.25115427,0.02224677
0.040000,0,RL_foot,-0.16072138,0.17717053,0.03003619
0.040000,0,RR_foot,-0.20061114,-0.22744019,0.02021419
0.060000,0,FL_foot,0.24488416,0.19275914,0.02022453
0.060000,0,FR_foot,0.23254596,-0.25453094,0.02203508
0.060000,0,RL_foot,-0.15554141,0.15650700,0.03916997
0.060000,0,RR_foot,-0.20058620,-0.22745511,0.02021190
0.080000,0,FL_foot,0.24490188,0.19278729,0.02022549
0.080000,0,FR_foot,0.23673025,-0.25811905,0.02184168
0.080000,0,RL_foot,-0.14868329,0.13743885,0.05016866
0.080000,0,RR_foot,-0.20055005,-0.22745354,0.02021332
0.100000,0,FL_foot,0.24492253,0.19281310,0.02022495
0.100000,0,FR_foot,0.24077988,-0.26173297,0.02169520
0.100000,0,RL_foot,-0.14222214,0.12231790,0.06081538
0.100000,0,RR_foot,-0.20051159,-0.22747864,0.02020980
0.120000,0,FL_foot,0.24495630,0.19281307,0.02022443
0.120000,0,FR_foot,0.24450877,-0.26502034,0.02156323
0.120000,0,RL_foot,-0.13714279,0.11148330,0.06956044
0.120000,0,RR_foot,-0.20046495,-0.22749363,0.02021077
0.140000,0,FL_foot,0.24499947,0.19281211,0.02022296
0.140000,0,FR_foot,0.24774669,-0.26773825,0.02137513
0.140000,0,RL_foot,-0.13343924,0.10397524,0.07618277
0.140000,0,RR_foot,-0.20041473,-0.22753496,0.02020905
0.160000,0,FL_foot,0.24505238,0.19280137,0.02022216
0.160000,0,FR_foot,0.25052544,-0.26991531,0.02106255
0.160000,0,RL_foot,-0.13071001,0.09861504,0.08119858
0.160000,0,RR_foot,-0.20035231,-0.22756048,0.02020375
0.180000,0,FL_foot,0.24511766,0.19276910,0.02022087
0.180000,0,FR_foot,0.25295612,-0.27168643,0.02059240
0.180000,0,RL_foot,-0.12853622,0.09457645,0.08515230
0.180000,0,RR_foot,-0.20028466,-0.22761564,0.02020527
0.200000,0,FL_foot,0.24518776,0.19274665,0.02022526
0.200000,0,FR_foot,0.25406075,-0.27243206,0.02025225
0.200000,0,RL_foot,-0.12654547,0.09121480,0.08831451
0.200000,0,RR_foot,-0.20021780,-0.22766070,0.02021533
0.220000,0,FL_foot,0.24526696,0.19270046,0.02022268
0.220000,0,FR_foot,0.25416777,-0.27250919,0.02025031
0.220000,0,RL_foot,-0.12447378,0.08850472,0.09054497
0.220000,0,RR_foot,-0.20015810,-0.22769213,0.02020679
0.240000,0,FL_foot,0.24534318,0.19265547,0.02022158
0.240000,0,FR_foot,0.25422016,-0.27254930,0.02024971
0.240000,0,RL_foot,-0.12263096,0.08630261,0.09238402
0.240000,0,RR_foot,-0.20010611,-0.22773398,0.02020480
0.260000,0,FL_foot,0.24541079,0.19262284,0.02022069
0.260000,0,FR_foot,0.25427595,-0.27259076,0.02024863
0.260000,0,RL_foot,-0.12097479,0.08448776,0.09390842
0.260000,0,RR_foot,-0.20005457,-0.22775045,0.02020321
0.280000,0,FL_foot,0.24547905,0.19258547,0.02022002
0.280000,0,FR_foot,0.25432277,-0.27262181,0.02024805
0.280000,0,RL_foot,-0.11948375,0.08298834,0.09516504
0.280000,0,RR_foot,-0.20000567,-0.22777903,0.02020249
0.300000,0,FL_foot,0.24553765,0.19256142,0.02021937
0.300000,0,FR_foot,0.25436699,-0.27264798,0.02024727
0.300000,0,RL_foot,-0.11814129,0.08175479,0.09618707
0.300000,0,RR_foot,-0.19995841,-0.22778453,0.02020142
0.320000,0,FL_foot,0.24559627,0.19253312,0.02021869
0.320000,0,FR_foot,0.25441676,-0.27267358,0.02024668
0.320000,0,RL_foot,-0.11692627,0.08074582,0.09700727
0.320000,0,RR_foot,-0.19991349,-0.22780396,0.02020071
0.340000,0,FL_foot,0.24564472,0.19251722,0.02021710
0.340000,0,FR_foot,0.25445837,-0.27269018,0.02024630
0.340000,0,RL_foot,-0.11582005,0.07992121,0.09765715
0.340000,0,RR_foot,-0.19987196,-0.22781844,0.02019832
0.360000,0,FL_foot,0.24569486,0.19249882,0.02021780
0.360000,0,FR_foot,0.25450653,-0.27270550,0.02024562
0.360000,0,RL_foot,-0.11480657,0.07926045,0.09816452
0.360000,0,RR_foot,-0.19982855,-0.22781450,0.02019880
0.380000,0,FL_foot,0.24573551,0.19249205,0.02021722
0.380000,0,FR_foot,0.25455230,-0.27271548,0.02024697
0.380000,0,RL_foot,-0.11386339,0.07872416,0.09855469
0.380000,0,RR_foot,-0.19978917,-0.22782446,0.02019715
0.400000,0,FL_foot,0.24577162,0.19248921,0.02021721
0.400000,0,FR_foot,0.25459528,-0.27271926,0.02024670
0.400000,0,RL_foot,-0.11299317,0.07828823,0.09885677
0.400000,0,RR_foot,-0.19975136,-0.22781336,0.02019640
0.420000,0,FL_foot,0.24580951,0.19248000,0.02021649
0.420000,0,FR_foot,0.25464442,-0.27272543,0.02024644
0.420000,0,RL_foot,-0.11217143,0.07794409,0.09907415
0.420000,0,RR_foot,-0.19971518,-0.22781959,0.02019566
0.440000,0,FL_foot,0.24583912,0.19248237,0.02021614
0.440000,0,FR_foot,0.25469983,-0.27272630,0.02024638
0.440000,0,RL_foot,-0.11139837,0.07766320,0.09923709
0.440000,0,RR_foot,-0.19968034,-0.22782427,0.02019514
0.460000,0,FL_foot,0.24586530,0.19248751,0.02021567
0.460000,0,FR_foot,0.25475314,-0.27272335,0.02024603
0.460000,0,RL_foot,-0.11066542,0.07743595,0.09935375
0.460000,0,RR_foot,-0.19964685,-0.22782718,0.02019467
0.480000,0,FL_foot,0.24588920,0.19249474,0.02021578
0.480000,0,FR_foot,0.25482517,-0.27273262,0.02024542
0.480000,0,RL_foot,-0.10996635,0.07725159,0.09943561
0.480000,0,RR_foot,-0.19961539,-0.22781070,0.02019401
0.500000,0,FL_foot,0.24591582,0.19249414,0.02021532
0.500000,0,FR_foot,0.25491038,-0.27274844,0.02024467
0.500000,0,RL_foot,-0.10929182,0.07710068,0.09948623
0.500000,0,RR_foot,-0.19958448,-0.22781160,0.02019296
0.520000,0,FL_foot,0.24593557,0.19250365,0.02021503
0.520000,0,FR_foot,0.25502658,-0.27278516,0.02024445
0.520000,0,RL_foot,-0.10864049,0.07696895,0.09951729
0.520000,0,RR_foot,-0.19955508,-0.22781321,0.02019276
0.540000,0,FL_foot,0.24595308,0.19251314,0.02021402
0.540000,0,FR_foot,0.25515679,-0.27283129,0.02024353
0.540000,0,RL_foot,-0.10800984,0.07684903,0.09953283
0.540000,0,RR_foot,-0.19952862,-0.22781262,0.02019135
0.560000,0,FL_foot,0.24596989,0.19252446,0.02021479
0.560000,0,FR_foot,0.25525749,-0.27285528,0.02024419
0.560000,0,RL_foot,-0.10739807,0.07674579,0.09953956
0.560000,0,RR_foot,-0.19950068,-0.22779642,0.02019190
0.580000,0,FL_foot,0.24598525,0.19253522,0.02021453
0.580000,0,FR_foot,0.25537589,-0.27289286,0.02024381
0.580000,0,RL_foot,-0.10680661,0.07664953,0.09953635
0.580000,0,RR_foot,-0.19947506,-0.22779711,0.02019145
0.600000,0,FL_foot,0.24600528,0.19253619,0.02021416
0.600000,0,FR_foot,0.25549135,-0.27292705,0.02024302
0.600000,0,RL_foot,-0.10623548,0.07655675,0.09952339
0.600000,0,RR_foot,-0.19945015,-0.22779903,0.02019135
0.620000,0,FL_foot,0.24601769,0.19254743,0.02021439
0.620000,0,FR_foot,0.25560954,-0.27296367,0.02024401
0.620000,0,RL_foot,-0.10568457,0.07646196,0.09951241
0.620000,0,RR_foot,-0.19942659,-0.22780044,0.02019066
