time_s,segment,body,x_m,y_m,z_m
0.440000,0,FL_2,-0.11887801,0.21152486,0.08424501
0.440000,0,FR_2,-0.02756935,-0.23705500,0.09205408
0.440000,0,RL_2,-0.33835536,0.09138789,0.10143539
0.440000,0,RR_2,-0.38373563,-0.36434722,0.07117131
0.460000,0,FL_2,-0.11963353,0.20861471,0.08388402
0.460000,0,FR_2,-0.03110355,-0.23817143,0.09142793
0.460000,0,RL_2,-0.33638111,0.09237891,0.10095081
0.460000,0,RR_2,-0.37836197,-0.36151603,0.07102908
0.480000,0,FL_2,-0.12071195,0.20564783,0.08367219
0.480000,0,FR_2,-0.03470739,-0.23941851,0.09075490
0.480000,0,RL_2,-0.33427006,0.09348240,0.10043104
0.480000,0,RR_2,-0.37337905,-0.35849929,0.07091533
0.500000,0,FL_2,-0.12114391,0.20338023,0.08342220
0.500000,0,FR_2,-0.03748029,-0.24123104,0.08973622
0.500000,0,RL_2,-0.33319506,0.09463549,0.09980111
0.500000,0,RR_2,-0.36976141,-0.35498840,0.07062736
0.520000,0,FL_2,-0.12131754,0.20069808,0.08306212
0.520000,0,FR_2,-0.04025951,-0.24251086,0.08908649
0.520000,0,RL_2,-0.33203036,0.09633928,0.09885939
0.520000,0,RR_2,-0.36652833,-0.35204020,0.07049523
0.540000,0,FL_2,-0.12222238,0.19719486,0.08287708
0.540000,0,FR_2,-0.04404218,-0.24346070,0.08871596
0.540000,0,RL_2,-0.32988107,0.09811580,0.09802414
0.540000,0,RR_2,-0.36242825,-0.34958532,0.07065370
0.560000,0,FL_2,-0.12249094,0.19473162,0.08267730
0.560000,0,FR_2,-0.04712494,-0.24548361,0.08772762
0.560000,0,RL_2,-0.32885084,0.09949688,0.09733234
0.560000,0,RR_2,-0.35934663,-0.34618059,0.07057607
0.580000,0,FL_2,-0.12225692,0.19202818,0.08233846
0.580000,0,FR_2,-0.05004005,-0.24702489,0.08705412
0.580000,0,RL_2,-0.32788110,0.10142077,0.09634954
0.580000,0,RR_2,-0.35653174,-0.34301463,0.07057638
0.600000,0,FL_2,-0.12242629,0.18861017,0.08212328
0.600000,0,FR_2,-0.05369600,-0.24827307,0.08663306
0.600000,0,RL_2,-0.32614839,0.10350018,0.09542318
0.600000,0,RR_2,-0.35291222,-0.34009588,0.07081667
0.620000,0,FL_2,-0.12179197,0.18619880,0.08178819
0.620000,0,FR_2,-0.05656876,-0.25050497,0.08568747
0.620000,0,RL_2,-0.32559583,0.10526009,0.09455508
0.620000,0,RR_2,-0.35034418,-0.33632609,0.07086673
0.640000,0,FL_2,-0.12072724,0.18346742,0.08135767
0.640000,0,FR_2,-0.05928389,-0.25214243,0.08508929
0.640000,0,RL_2,-0.32501081,0.10754713,0.09345144
